name,checked_synonym,accepted_name,author
Aeonium virgineum Webb. & Berth.,Aeonium virgineum,Aeonium canariense subsp. virgineum,(Webb ex Christ) Bañares
Aeonium viscatum Webb,Aeonium viscatum,Aeonium lindleyi subsp. viscatum,(Bolle) Bañares
Aeranthes antennophora H. Perr.,Aeranthes antennophora,Aeranthes antennophora,H.Perrier
Aerides racemeformis (see note on back),Aerides,Aerides,Lour.
Aerva revoluta Balf. f.,Aerva revoluta,Paraerva revoluta,(Balf.f.) T.Hammer
Aeschynanthus lobbiana Hook. Trichosporum lobbianum Kuntze,Aeschynanthus lobbianus,Aeschynanthus pulcher,(Blume) G.Don
Aeschulus carnea Hayne,Aesculus castanea,Aesculus hippocastanum,L.
Afzelia africana Smith,Afzelia africana,Afzelia africana,Sm. ex Pers.
Agapetes Hookeri C. B. Clarke,Agapetes,Agapetes,D.Don ex G.Don
Agatea deplanchei,Agatea,Agatea,A.Gray
Agave americana L. var. expansa (Jacobi) Gentry,Agave americana var. expansa,Agave americana var. expansa,(Jacobi) Gentry
Agave ellemeetiana Jacobi,Agave ellemeetiana,Paraagave ellemeetiana,"(K.Koch) A.Vázquez, Rosales & García-Mor."
Agave expansa Jacobi,Agave expansa,Agave americana var. expansa,(Jacobi) Gentry
Agave Filifera Salm.,Agave,Agave,L.
Agave neomexicana Woot. & Stand1.,Agave neomexicana,Agave parryi subsp. neomexicana,(Wooton & Standl.) B.Ullrich
Agave Parryi Engelm.,Agave,Agave,L.
Agave utahensis var. kaibabensis (McKelv.) Brit.,Agave utahensis var. kaibabensis,Agave utahensis subsp. kaibabensis,(McKelvey) Gentry
Agave grandidentata Jacobi xylonacantha Salm,Agave grandidentata,Agave horrida,Lem. ex Jacobi
Agelaea heterophylla Gilg.,Agelaea heterophylla,Agelaea pentagyna,(Lam.) Baill.
Ageratum microcarpum Hemsl.,Ageratum microcarpum,Ageratum microcarpum,(Benth.) Hemsl.
"Agonis juniperina Schay,",Agonis juniperina,Taxandria juniperina,(Schauer) J.R.Wheeler & N.G.Marchant
Agropyron cristatum (L.) Gaertn.,Agropyron cristatum,Agropyron cristatum,(L.) Gaertn.
Agrostocrinum scabrum (R.Br.) Baill.,Agrostocrinum scabrum,Agrostocrinum scabrum,(R.Br.) Baill.
Aichryson dichotomum (DC)Webb & Berth.,Aichryson dichotomum,Aichryson dichotomum,(DC.) Webb & Berthel.
Aichryson domesticum Webb & Benth.,Aichryson × domesticum,Aichryson × aizoides,(Lam.) E.C.Nelson
Aizoon quadrifidum,Aizoon quadrifidum,Gunniopsis quadrifida,(F.Muell.) Pax
Akersia roseiflora Buin,Akersia roseiflora,Borzicactus icosagonus subsp. roseiflorus,(Buining) G.J.Charles
Albizzia lophantha Benth.,Albizia lophantha,Paraserianthes lophantha,(Vent.) I.C.Nielsen
Albuca kirkii (Bak.) Brenan,Albuca kirkii,Albuca kirkii,(Baker) Brenan
Albuca melleri (Bak.)Bak.,Albuca melleri,Albuca abyssinica,Jacq.
Albuca namaquensis Bak.,Albuca namaquensis,Albuca namaquensis,Baker
Albuca nyikensis Bak.,Albuca nyikensis,Albuca kirkii,(Baker) Brenan
Alciope,Alciope,Capelio,B.Nord.
Alectryon tomentosa Radlk.,Alectryon tomentosus,Alectryon tomentosus,(F.Muell.) Radlk.
Aleurites moluccana Wild.,Aleurites moluccanus,Aleurites moluccanus,(L.) Willd.
Alisma geyeri Torr.,Alisma geyeri,Alisma gramineum,Lej.
Alisma lanceolatum With.,Alisma lanceolatum,Alisma lanceolatum,With.
Alisma wahlenbergii (Holmberg) Juz.,Alisma wahlenbergii,Alisma wahlenbergii,(Holmb.) Juz.
Allamanda cathartica L.,Allamanda cathartica,Allamanda schottii,Pohl
Alliumacuminatum Hook.,,,
Allium Sp. acuminatum Hook.,Allium,Allium,L.
